day,initial_sequence,initial_tick_id,initial_timestamp_utc,initial_side,reversal_triggered,reversal_tick_id,reversal_timestamp_utc,reversal_side,initial_realized_loss,reversal_entry,double_recovered,double_recovery_seconds,single_recovered,single_recovery_seconds,max_adverse_before_scale_down,double_max_favorable,scaled_pnl_60,scaled_pnl_300
2026-01-26,2,27848672,2026-01-26T06:19:42+00:00,long,True,27848766.0,2026-01-26T06:20:14+00:00,short,-1.3400000000001455,5070.01,True,80.504,True,83.499,-6.199999999998909,1.860000000000582,-1.9200000000000728,-4.869999999999891
2026-01-26,3,27936383,2026-01-26T13:50:37+00:00,short,False,,,,,,,,,,,,,
2026-01-26,4,27939495,2026-01-26T14:04:25+00:00,long,False,,,,,,,,,,,,,
2026-01-26,5,27971419,2026-01-26T16:21:47+00:00,long,False,,,,,,,,,,,,,
2026-01-27,1,28130218,2026-01-27T05:26:56+00:00,short,False,,,,,,,,,,,,,
2026-01-27,2,28154442,2026-01-27T07:24:15+00:00,short,False,,,,,,,,,,,,,
2026-01-27,3,28241113,2026-01-27T14:35:23+00:00,short,True,28241247.0,2026-01-27T14:35:56+00:00,long,-0.9199999999991633,5068.23,True,1.083,True,1.083,-0.8999999999987267,16.700000000001637,8.06000000000131,3.890000000001237
2026-01-27,4,28307524,2026-01-27T19:25:32+00:00,short,True,28307530.0,2026-01-27T19:25:35+00:00,long,-0.4600000000000364,5090.26,False,,False,,-7.9399999999996,-0.5000000000009095,-5.260000000001128,-2.699999999999818
2026-01-28,1,28428389,2026-01-28T05:34:21+00:00,long,False,,,,,,,,,,,,,
2026-01-28,2,28510755,2026-01-28T12:03:27+00:00,long,False,,,,,,,,,,,,,
2026-01-29,1,28728024,2026-01-29T04:23:23+00:00,long,False,,,,,,,,,,,,,
2026-01-29,2,28746199,2026-01-29T05:46:46+00:00,short,True,28746217.0,2026-01-29T05:46:51+00:00,long,-1.3299999999999272,5555.59,True,83.836,True,128.787,-7.930000000000291,13.469999999999345,-6.850000000000364,-2.3099999999994907
2026-01-29,3,28853144,2026-01-29T13:40:58+00:00,short,True,28853210.0,2026-01-29T13:41:17+00:00,long,-1.6099999999996726,5521.95,True,22.804,True,47.943,-2.550000000000182,16.170000000000982,1.1000000000003638,3.25
2026-01-29,4,28933373,2026-01-29T18:58:31+00:00,long,False,,,,,,,,,,,,,
2026-01-30,1,28972961,2026-01-29T21:42:39+00:00,long,False,,,,,,,,,,,,,
2026-01-30,2,29042631,2026-01-30T03:33:28+00:00,short,False,,,,,,,,,,,,,
2026-01-30,3,29100160,2026-01-30T07:33:52+00:00,long,True,29100169.0,2026-01-30T07:33:55+00:00,short,-1.269999999999527,5161.8,True,5.85,True,9.707,-2.2100000000000364,85.57000000000062,9.69000000000051,16.100000000000364
2026-02-02,1,29456680,2026-02-02T08:39:03+00:00,long,False,,,,,,,,,,,,,
2026-02-02,2,29633230,2026-02-02T20:42:27+00:00,short,True,29633274.0,2026-02-02T20:42:41+00:00,long,-0.37000000000080036,4683.06,True,5.952,True,5.952,-1.5500000000010914,18.44999999999891,4.2499999999990905,-10.570000000001528
2026-02-03,1,29724153,2026-02-03T04:27:07+00:00,long,True,29724238.0,2026-02-03T04:27:31+00:00,short,-0.8200000000006185,4808.94,True,1.166,True,1.8399999999999999,-1.660000000000764,8.49999999999909,-0.04000000000178261,-2.950000000001637
2026-02-03,2,29762855,2026-02-03T07:18:02+00:00,short,False,,,,,,,,,,,,,
2026-02-03,3,29793801,2026-02-03T09:39:10+00:00,short,True,29793869.0,2026-02-03T09:39:32+00:00,long,-1.8699999999998909,4914.5,True,28.901,True,32.594,-2.8299999999990177,11.170000000000982,0.47000000000025466,5.100000000000364
2026-02-03,4,29806668,2026-02-03T10:44:58+00:00,short,False,,,,,,,,,,,,,
