period,window_minutes,band_stdev,slope_mode,side,events,successes,excellent_proxy_rate,cover_5s_rate,median_mfe_15,median_mae_15
later,60,0.5,both,short,27,1,0.037037037037037035,0.3333333333333333,0.2899999999999636,0.660000000000764
later,60,1.0,60,long,6,1,0.16666666666666666,0.16666666666666666,0.15999999999985445,1.7650000000003274
later,60,1.0,60,short,12,0,0.0,0.16666666666666666,-0.054999999999381544,0.8000000000006366
later,60,1.0,300,long,8,1,0.125,0.25,0.15999999999985445,1.1849999999999454
later,60,1.0,300,short,20,0,0.0,0.3,0.1199999999998908,0.9049999999997453
later,60,1.0,both,long,6,1,0.16666666666666666,0.16666666666666666,0.15999999999985445,1.7650000000003274
later,60,1.0,both,short,12,0,0.0,0.16666666666666666,-0.054999999999381544,0.8000000000006366
later,60,1.5,60,long,10,0,0.0,0.5,0.20499999999992718,1.5549999999998363
later,60,1.5,60,short,3,1,0.3333333333333333,0.6666666666666666,1.199999999999818,0.4499999999998181
later,60,1.5,300,long,15,1,0.06666666666666667,0.6,0.2799999999997453,0.6400000000003274
later,60,1.5,300,short,7,2,0.2857142857142857,0.42857142857142855,0.3999999999996362,0.4499999999998181
later,60,1.5,both,long,9,0,0.0,0.5555555555555556,0.2799999999997453,1.4399999999995998
later,60,1.5,both,short,3,1,0.3333333333333333,0.6666666666666666,1.199999999999818,0.4499999999998181
later,60,2.0,60,long,2,0,0.0,1.0,0.144999999999527,3.3049999999998363
later,60,2.0,60,short,1,0,0.0,0.0,-0.1999999999998181,0.6399999999994179
later,60,2.0,300,long,5,0,0.0,0.8,0.269999999999527,1.2799999999997451
later,60,2.0,300,short,2,0,0.0,0.0,0.44499999999970896,0.5650000000000546
later,60,2.0,both,long,2,0,0.0,1.0,0.144999999999527,3.3049999999998363
later,60,2.0,both,short,1,0,0.0,0.0,-0.1999999999998181,0.6399999999994179
earlier,120,0.5,60,long,32,3,0.09375,0.40625,0.1849999999999454,0.6100000000001273
earlier,120,0.5,60,short,36,5,0.1388888888888889,0.5555555555555556,0.27500000000009095,0.8400000000001455
earlier,120,0.5,300,long,32,4,0.125,0.4375,0.21500000000014546,0.6100000000001273
earlier,120,0.5,300,short,37,4,0.10810810810810811,0.4594594594594595,0.1300000000001091,0.9600000000000364
earlier,120,0.5,both,long,28,3,0.10714285714285714,0.4642857142857143,0.2100000000000363,0.6100000000001273
earlier,120,0.5,both,short,31,3,0.0967741935483871,0.5161290322580645,0.1599999999998544,0.8599999999996726
earlier,120,1.0,60,long,17,0,0.0,0.35294117647058826,0.1799999999993815,0.7699999999995271
earlier,120,1.0,60,short,26,4,0.15384615384615385,0.46153846153846156,0.0349999999993997,0.9100000000003092
earlier,120,1.0,300,long,18,0,0.0,0.3888888888888889,0.21999999999979986,0.7549999999996544
earlier,120,1.0,300,short,26,3,0.11538461538461539,0.46153846153846156,0.1399999999994179,0.775000000000091
earlier,120,1.0,both,long,14,0,0.0,0.2857142857142857,0.15999999999985443,0.7549999999996544
earlier,120,1.0,both,short,21,2,0.09523809523809523,0.47619047619047616,0.019999999999527,1.0
earlier,120,1.5,60,long,14,3,0.21428571428571427,0.8571428571428571,0.5199999999995271,0.6950000000001637
earlier,120,1.5,60,short,7,1,0.14285714285714285,0.2857142857142857,-0.1000000000003638,0.8400000000001455
earlier,120,1.5,300,long,19,3,0.15789473684210525,0.7368421052631579,0.3199999999997089,0.75
earlier,120,1.5,300,short,10,1,0.1,0.5,0.2550000000001091,0.7799999999997453
earlier,120,1.5,both,long,14,3,0.21428571428571427,0.8571428571428571,0.5199999999995271,0.6950000000001637
earlier,120,1.5,both,short,7,1,0.14285714285714285,0.2857142857142857,-0.1000000000003638,0.8400000000001455
earlier,120,2.0,60,long,3,0,0.0,0.3333333333333333,0.0699999999997089,1.819999999999709
earlier,120,2.0,60,short,2,2,1.0,1.0,2.0300000000002,0.40499999999974534
earlier,120,2.0,300,long,4,0,0.0,0.75,0.1700000000000727,1.819999999999709
earlier,120,2.0,300,short,4,3,0.75,0.75,1.3900000000003274,0.12499999999999994
earlier,120,2.0,both,long,2,0,0.0,0.5,-0.1350000000002183,1.819999999999709
earlier,120,2.0,both,short,1,1,1.0,1.0,1.5600000000004002,0.2299999999995634
later,120,0.5,60,long,17,3,0.17647058823529413,0.47058823529411764,0.0300000000006548,1.0299999999997451
later,120,0.5,60,short,16,1,0.0625,0.5,-0.009999999999763552,0.7350000000001273
later,120,0.5,300,long,20,3,0.15,0.5,0.0750000000002728,0.9299999999998362
later,120,0.5,300,short,22,2,0.09090909090909091,0.4090909090909091,-0.10500000000001815,0.7350000000001273
later,120,0.5,both,long,16,2,0.125,0.4375,0.03000000000020005,1.0300000000002
later,120,0.5,both,short,16,1,0.0625,0.5,-0.009999999999763552,0.7350000000001273
later,120,1.0,60,long,15,4,0.26666666666666666,0.5333333333333333,0.5399999999999636,0.4700000000002546
later,120,1.0,60,short,19,0,0.0,0.3157894736842105,0.0,0.8999999999996362
later,120,1.0,300,long,16,5,0.3125,0.5625,0.5399999999999636,0.42999999999983624
later,120,1.0,300,short,20,1,0.05,0.35,0.03000000000020005,0.7649999999998727
later,120,1.0,both,long,12,4,0.3333333333333333,0.5833333333333334,0.5399999999999636,0.42999999999983624
later,120,1.0,both,short,19,0,0.0,0.3157894736842105,0.0,0.8999999999996362
later,120,1.5,60,long,7,1,0.14285714285714285,0.2857142857142857,0.0500000000001819,0.8599999999996726
later,120,1.5,60,short,9,1,0.1111111111111111,0.4444444444444444,0.110000000000582,0.5900000000001455
later,120,1.5,300,long,12,2,0.16666666666666666,0.5,0.15500000000020006,0.7449999999998909
later,120,1.5,300,short,5,1,0.2,0.4,0.0299999999997453,0.5900000000001455
later,120,1.5,both,long,6,1,0.16666666666666666,0.3333333333333333,0.0399999999999636,0.7449999999998909
later,120,1.5,both,short,5,1,0.2,0.4,0.0299999999997453,0.5900000000001455
later,120,2.0,60,long,4,1,0.25,0.5,0.6199999999994361,1.235000000000582
later,120,2.0,60,short,2,1,0.5,0.5,0.9349999999994907,0.680000000000291
later,120,2.0,300,long,7,2,0.2857142857142857,0.5714285714285714,0.269999999999527,0.4499999999998181
later,120,2.0,300,short,3,1,0.3333333333333333,0.3333333333333333,-0.0200000000004365,1.199999999999818
later,120,2.0,both,long,4,1,0.25,0.5,0.6199999999994361,1.235000000000582
later,120,2.0,both,short,2,1,0.5,0.5,0.9349999999994907,0.680000000000291
